# WHI-798 asset × venue coverage matrix
# snapshot_date_utc: 2026-08-03
# present: yes | no | n/a | partial
# instrument: venue-native symbol / mint / address (representative)
# notes: multipliers (1000/k), wraps, HIP-3 dex prefix
# prop AMM pairs reuse WHI-797 onlyDirect findings
# sources: Binance exchangeInfo+fapi, Bybit instruments-info, HL info meta/perpDexs/xyz/spotMeta,
#          Lighter orderBooks, ApeX omni symbols, Jupiter token search, WHI-797 asset-matrix.tsv
# v2 (2026-08-03): Binance *B tokens = bStocks (BTech/Binance affiliate, ADGM-approved, live 2026-06-12).
# v1's *B exclusion is REVERSED - bStocks are the highest-volume tokenized stock family and are in scope.
# prop_amm_tessera_evm column (v2): Tessera on Base/BSC via KyberSwap includedSources=tessera (WHI-797 v2 s7.4).
section	logical	binance_spot	binance_perp	bybit_spot	bybit_perp	hl_main_perp	hl_spot_or_hip3	lighter_perp	apex	prop_amm_humidifi	prop_amm_tesserav	prop_amm_bisonfi	prop_amm_tessera_evm	uniswap_eth	aerodrome_base	pancake_bsc	instrument_notes
bluechip	BTC	yes:BTCUSDT	yes:BTCUSDT	yes:BTCUSDT	yes:BTCUSDT	yes:BTC	yes:UBTC(@142)	yes:BTC	yes:BTC-USDT	yes:cbBTC/USDC	yes:cbBTC/USDC	yes:cbBTC/USDC	yes:base cbBTC/USDC + bsc BTCB/USDT	yes:WBTC	yes:cbBTC	yes:BTCB	wraps differ per chain; prop mint cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij
bluechip	ETH	yes:ETHUSDT	yes:ETHUSDT	yes:ETHUSDT	yes:ETHUSDT	yes:ETH	yes:UETH(@151)	yes:ETH	yes:ETH-USDT	yes:WETH/USDC	yes:WETH/USDC	yes:WETH/USDC	yes:base WETH/USDC	yes:WETH	yes:WETH	yes:ETH	prop WETH mint 7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs (Wormhole)
bluechip	SOL	yes:SOLUSDT	yes:SOLUSDT	yes:SOLUSDT	yes:SOLUSDT	yes:SOL	yes:USOL(@156)	yes:SOL	yes:SOL-USDT	yes:SOL/USDC	yes:SOL/USDC	yes:SOL/USDC	no	no	no	no	wSOL So11111111111111111111111111111111111111112; no native EVM AMM path in scope
stocks	TSLA	yes:TSLABUSDT(bStocks)	yes:TSLAUSDT(TRADIFI)	yes:TSLAXUSDT	yes:TSLAUSDT	no	yes:xyz:TSLA	yes:TSLA	yes:TSLA-USDT	no	no	no	no(TSLAB probed 4000)	n/a	n/a	yes:TSLAB/USDT v3	Sol xStock TSLAx XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB
stocks	AAPL	yes:AAPLBUSDT(bStocks)	yes:AAPLUSDT(TRADIFI)	yes:AAPLXUSDT	yes:AAPLUSDT	no	yes:xyz:AAPL	yes:AAPL	yes:AAPL-USDT	no	no	no	unverified	n/a	n/a	unverified(*B pool)	Sol xStock AAPLx XsbEhLAtcf6HdfpFZ5xEMdqW8nfAvcsP5bdudRLJzJp (not APPLx pump fakes)
stocks	NVDA	yes:NVDABUSDT(bStocks)	yes:NVDAUSDT(TRADIFI)	yes:NVDAXUSDT	yes:NVDAUSDT	no	yes:xyz:NVDA	yes:NVDA	yes:NVDA-USDT	no	no	no	yes:bsc NVDAB/USDT + NVDAon/USDT	partial:NVDAon pools (low liq)	n/a	yes:NVDAB/USDT v3	Sol NVDAx Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh
stocks	MSFT	yes:MSFTBUSDT(bStocks)	yes:MSFTUSDT(TRADIFI)	no	yes:MSFTUSDT	no	yes:xyz:MSFT	yes:MSFT	yes:MSFT-USDT	no	no	no	unverified	n/a	n/a	unverified(*B pool)	Sol MSFTx XspzcW1PRtgf6Wj92HCiZdjzKCyFekVD8P5Ueh3dRMX; Bybit spot xStock absent in snapshot
stocks	AMZN	yes:AMZNBUSDT(bStocks)	yes:AMZNUSDT(TRADIFI)	yes:AMZNXUSDT	yes:AMZNUSDT	no	yes:xyz:AMZN	yes:AMZN	yes:AMZN-USDT	no	no	no	unverified	n/a	n/a	unverified(*B pool)	Sol AMZNx Xs3eBt7uRfJX8QUs4suhyU8p2M6DoUDrJyWBa8LLZsg
stocks	GOOGL	yes:GOOGLBUSDT(bStocks)	yes:GOOGLUSDT(TRADIFI)	yes:GOOGLXUSDT	yes:GOOGLUSDT	no	yes:xyz:GOOGL	yes:GOOGL	yes:GOOGL-USDT	no	no	no	unverified	n/a	n/a	unverified(*B pool)	Sol GOOGLx XsCPL9dNWBMvFtTmwcCA5v3xWPSMEBCszbQdiLLq6aN
stocks	META	yes:METABUSDT(bStocks)	yes:METAUSDT(TRADIFI)	yes:METAXUSDT	yes:METAUSDT	no	yes:xyz:META	yes:META	yes:META-USDT	no	no	no	unverified	n/a	n/a	unverified(*B pool)	Sol METAx Xsa62P5mvPszXL1krVUnU5ar38bBSVcWAB6fmPCo5Zu
stocks	COIN	yes:COINBUSDT(bStocks)	yes:COINUSDT(TRADIFI)	yes:COINXUSDT	yes:COINUSDT	no	yes:xyz:COIN	yes:COIN	yes:COIN-USDT	no	no	no	unverified	n/a	n/a	unverified(*B pool)	Sol COINx Xs7ZdzSHLU9ftNJsii5fCeJhoRWSC32SQGzGQtePxNu
stocks	HOOD	yes:HOODBUSDT(bStocks)	yes:HOODUSDT(TRADIFI)	yes:HOODXUSDT	yes:HOODUSDT	no	yes:xyz:HOOD	yes:HOOD	yes:HOOD-USDT	no	no	no	unverified	n/a	n/a	unverified(*B pool)	Sol HOODx XsvNBAYkrDRNhA7wPHQfX3ZUXZyZLdnCQDfHZ56bzpg
stocks	MSTR	yes:MSTRBUSDT(bStocks)	yes:MSTRUSDT(TRADIFI)	no	yes:MSTRUSDT	no	yes:xyz:MSTR	yes:MSTR	yes:MSTR-USDT	no	no	no	unverified	n/a	n/a	unverified(*B pool)	Sol MSTRx XsP7xzNPvEHS1m6qfanPUGjNmdnmsLKEoNAnHjdxxyZ
stocks	SPY	yes:SPYBUSDT(bStocks)	yes:SPYUSDT(TRADIFI)	no	yes:SPYUSDT	no	partial:proxy:xyz:SP500	yes:SPY	yes:SPY-USDT	no	no	no	unverified	n/a	n/a	unverified(*B pool)	HL no xyz:SPY (proxy SP500 only); P0-lite; Sol SPYx XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W
stocks	QQQ	yes:QQQBUSDT(bStocks)	yes:QQQUSDT(TRADIFI)	no	yes:QQQUSDT	no	partial:proxy:xyz:XYZ100	yes:QQQ	yes:QQQ-USDT	no	no	no	yes:bsc QQQB/USDT	n/a	n/a	yes:QQQB/USDT v3 (~$23M/24h)	HL no xyz:QQQ (proxy XYZ100 only); P0-lite; Sol QQQx Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ
stocks	CRCL	yes:CRCLBUSDT(bStocks)	yes:CRCLUSDT(TRADIFI)	yes:CRCLXUSDT	yes:CRCLUSDT	no	yes:xyz:CRCL	yes:CRCL	yes:CRCL-USDT	no	no	no	unverified	n/a	n/a	unverified(*B pool)	Sol CRCLx XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1
