# WHI-883 underlying × form × venue inventory
# snapshot_date_utc: 2026-08-06
# coverage_status (column status): live | live_thin | proxy | disabled | absent | absent_no_route | unverified
# NOTE: column name `status` is coverage_status for inventory — NOT Quote.status (WHI-799 §6.1)
# form vocabulary SSOT: WHI-798 §4.6
# volume_or_liq_usd metric varies by venue (perp 24h quote / CEX turnover / pool 24h / Jupiter liq) — see evidence
asset	form	form_class	venue	instrument_type	wire_symbol	status	volume_or_liq_usd	evidence	notes
AMZN	perp	perp	binance	perp	AMZNUSDT	live	37350286.1289	GET fapi/v1/exchangeInfo+ticker/24hr TRADIFI_PERPETUAL	
AMZN	perp	perp	bybit	perp	AMZNUSDT	live	3332083.4487	GET v5 instruments-info linear + tickers	
AMZN	perp	perp	hyperliquid	perp	xyz:AMZN	live	20518569.524910003	POST info metaAndAssetCtxs dex=xyz (see hl_xyz_vol.json)	HIP-3; adapter wire xyz:TICKER; exact only if status=live
AMZN	perp	perp	lighter	perp	AMZN	live	285813.4741	GET orderBookDetails (see lighter_equity_slim.json)	multiplier=1.000000000000000000
AMZN	perp	perp	apex	perp	AMZN-USDT	live		GET /api/v3/symbols contractConfig.stockContract (see apex_equity_slim.json)	stockContract enableTrade=True
AMZN	bstock	tokenized	binance	spot	AMZNBUSDT	live	144129.21953	GET api/v3/exchangeInfo+ticker/24hr	bStocks
AMZN	bstock	tokenized	pancakeswap_bsc	spot	AMZNB	live	9731.3155157027	GeckoTerminal search/pools (gecko_pools.json)	dex=pancakeswap-v3-bsc id=bsc_0x7530beb7bde5843f668cf31b996fa1f748c9b6b1 tvl_usd=44648.2287
AMZN	bstock	tokenized	tessera_bsc	spot	AMZNB	unverified		Tessera subset; no per-token address probe this pass	not absent
AMZN	ondo	tokenized	pancakeswap_bsc	spot	AMZNon	unverified	153.8720619236	GeckoTerminal search/pools	dex=pancakeswap_v2 tvl=5882.203 id=bsc_0x8617ba6deee616694601adc41ab7ffe0e610907e — not adapter Pancake v3 path or non-USDT pairing risk
AMZN	ondo	tokenized	tessera_bsc	spot	AMZNon	unverified		not in known Tessera live subset	
AMZN	xstock_cex	tokenized	bybit	spot	AMZNXUSDT	live	455183.86795	GET v5 instruments-info spot	
AMZN	xstock	tokenized	solana_mint	spot	AMZNx	live	202288.1722464406	Jupiter tokens/v2/search (jup_xstocks.json)	mint=Xs3eBt7uRfJX8QUs4suhyU8p2M6DoUDrJyWBa8LLZsg
AMZN	xstock	tokenized	prop_amm_sol	spot	AMZNx	absent_no_route		Jupiter quote onlyDirectRoutes+dexes= (jup_prop_xstock_probes.json)	probed
