# asset-matrix.tsv — WHI-797 prop AMM asset probe
# probe_date_utc: 2026-08-03 (direct sweep) + 2026-08-03 follow-ups (multi-hop / reverse)
# base_url: https://api.jup.ag/swap/v1
# auth: keyless (no x-api-key)
# sleep_between_requests_sec: >= 2.2
# onlyDirect=true means onlyDirectRoutes=true
# onlyDirect=false means onlyDirectRoutes omitted (multi-hop allowed)
# amounts by input symbol (raw units):
#   SOL=100000000 (0.1), USDC=50000000 (50), USDT=50000000 (50),
#   JUP=10000000, WIF=5000000, BONK=1000000000, mSOL=100000000, JitoSOL=100000000,
#   cbBTC=100000 (0.001), WETH=1000000, PYTH=100000000, RAY=10000000,
#   ORCA=10000000, KMNO=100000000, POPCAT=100000000
# mints: see docs/research/WHI-797-prop-amm-jupiter-quote-api.md §6.2
# note: "No routes found" can be size- or inventory-dependent; treat as snapshot
dex	pair	onlyDirect	http	result
HumidiFi	SOL:USDC	true	200	OK
HumidiFi	USDC:SOL	true	200	OK
HumidiFi	SOL:USDT	true	200	OK
HumidiFi	USDT:SOL	true	200	OK
HumidiFi	USDC:USDT	true	400	No routes found
HumidiFi	USDT:USDC	true	400	No routes found
HumidiFi	SOL:JUP	true	400	No routes found
HumidiFi	JUP:SOL	true	400	No routes found
HumidiFi	USDC:JUP	true	200	OK
HumidiFi	JUP:USDC	true	200	OK
HumidiFi	SOL:WIF	true	400	No routes found
HumidiFi	WIF:SOL	true	400	No routes found
HumidiFi	SOL:BONK	true	400	No routes found
HumidiFi	BONK:SOL	true	400	No routes found
HumidiFi	SOL:mSOL	true	400	No routes found
HumidiFi	mSOL:SOL	true	400	No routes found
HumidiFi	SOL:JitoSOL	true	400	No routes found
HumidiFi	JitoSOL:SOL	true	400	No routes found
HumidiFi	SOL:cbBTC	true	400	No routes found
HumidiFi	cbBTC:SOL	true	400	No routes found
HumidiFi	USDC:cbBTC	true	200	OK
HumidiFi	cbBTC:USDC	true	200	OK
HumidiFi	SOL:WETH	true	400	No routes found
HumidiFi	WETH:SOL	true	400	No routes found
HumidiFi	USDC:WETH	true	200	OK
HumidiFi	WETH:USDC	true	200	OK
HumidiFi	SOL:PYTH	true	400	No routes found
HumidiFi	PYTH:SOL	true	400	No routes found
HumidiFi	SOL:RAY	true	400	No routes found
HumidiFi	RAY:SOL	true	400	No routes found
HumidiFi	SOL:ORCA	true	400	No routes found
HumidiFi	ORCA:SOL	true	400	No routes found
HumidiFi	SOL:KMNO	true	400	No routes found
HumidiFi	KMNO:SOL	true	400	No routes found
HumidiFi	SOL:POPCAT	true	400	No routes found
HumidiFi	POPCAT:SOL	true	400	No routes found
TesseraV	SOL:USDC	true	200	OK
TesseraV	USDC:SOL	true	200	OK
TesseraV	SOL:USDT	true	400	No routes found
TesseraV	USDT:SOL	true	400	No routes found
TesseraV	USDC:USDT	true	400	No routes found
TesseraV	USDT:USDC	true	400	No routes found
TesseraV	SOL:JUP	true	400	No routes found
TesseraV	JUP:SOL	true	400	No routes found
TesseraV	USDC:JUP	true	400	No routes found
TesseraV	JUP:USDC	true	400	No routes found
TesseraV	SOL:WIF	true	400	No routes found
TesseraV	WIF:SOL	true	400	No routes found
TesseraV	SOL:BONK	true	400	No routes found
TesseraV	BONK:SOL	true	400	No routes found
TesseraV	SOL:mSOL	true	400	No routes found
TesseraV	mSOL:SOL	true	400	No routes found
TesseraV	SOL:JitoSOL	true	400	No routes found
